Sansonetti;;;;M.S.Safronova et al.;;;O. S. Heavanes;;;
3288.601;0.005;30399.31;;;;;8.94E+03;6s 2 S 1/2;14p 2 P ?3/2;
3289.286;0.005;30392.98;;;;;2.52E+02;6s 2 S 1/2;14p 2 P ?1/2;
3313.121;0.005;30174.34;;;;;1.45E+04;6s 2 S 1/2;13p 2 P ?3/2;
3314.055;0.005;30165.83;;;;;4.97E+02;6s 2 S 1/2;13p 2 P ?1/2;
3347.49;0.005;29864.54;;;;;2.14E+04;6s 2 S 1/2;12p 2 P ?3/2;
3348.82;0.005;29852.68;;;;;1.06E+03;6s 2 S 1/2;12p 2 P ?1/2;
3397.966;0.005;29420.93;;;;;3.61E+04;6s 2 S 1/2;11p 2 P ?3/2;
3399.979;0.005;29403.51;;;;;2.36E+03;6s 2 S 1/2;11p 2 P ?1/2;
3476.809;0.005;28753.77;;;;;6.27E+04;6s 2 S 1/2;10p 2 P ?3/2;
3480.06;0.005;28726.91;;;;;6.33E+03;6s 2 S 1/2;10p 2 P ?1/2;
3611.4714;0.001 9;27681.65;160;;;;1.43E+05;6s 2 S 1/2;9p 2 P ?3/2;
3617.3084;0.001 7;27636.983;32;;;;2.23E+04;6s 2 S 1/2;9p 2 P ?1/2;
3876.1486;0.000 8;25791.494;2 100;;;;3.86E+05;6s 2 S 1/2;8p 2 P ?3/2;9.40E+05
3888.608502;0.000 005;25708.85473;600;;;;8.99E+04;6s 2 S 1/2;8p 2 P ?1/2;
4111.16407;0.000 000 2;24317.1494;;;;;;6s 2 S 1/2;8s 2 S 1/2;
4417.3432;0.000 2;22631.684;;;;;;6s 2 S 1/2;6d 2 D 5/2;
4425.7258;0.000 2;22631.684;;;;;;6s 2 S 1/2;6d 2 D 3/2;
4555.2799;0.000 5;21946.263;;;;;1.84E+06;6s 2 S 1/2;7p 2 P ?3/2;2.97E+06
4593.1721;0.000 5;21765.211;;;;;7.94E+05;6s 2 S 1/2;7p 2 P ?1/2;
5152.6813;0.000 5;19401.967;;;;;;6p 2 P ?1/2;14d 2 D 3/2;
5196.7343;0.000 5;19237.497;;;;;;6p 2 P ?1/2;13d 2 D 3/2;
5256.5633;0.000 5;19018.543;;;;;;6p 2 P ?1/2;12d 2 D 3/2;
5301.4;0.02;18857.7;;;;;;6p 2 P ?1/2;13s 2 S 1/2;
5303.7766;0.000 5;18849.245;;;;;;6p 2 P ?3/2;19d 2 D 5/2;
5340.9418;0.000 5;18718.088;;;;;;6p 2 P ?1/2;11d 2 D 3/2;
5350.3512;0.000 5;18685.165;;;;;;6p 2 P ?3/2;13d 2 D 5/2;
5406.6672;0.000 5;18490.542;;;;;;6p 2 P ?1/2;12s 2 S 1/2;
5413.6145;0.000 5;18466.813;;;;;;6p 2 P ?3/2;12d 2 D 5/2;
5414.28;0.02;18464.5;;;;;;6p 2 P ?3/2;12d 2 D 3/2;
5461.9231;0.000 5;18303.484;;;;;;6p 2 P ?3/2;13s 2 S 1/2;
5465.9443;0.000 5;18290.023;;;;;;6p 2 P ?1/2;10d 2 D 3/2;
5502.8843;0.000 5;18167.253;;;;;;6p 2 P ?3/2;11d 2 D 5/2;
5503.8524;0.000 5;18164.046;;0.7825;1.5;2.5;4959605.579;6p 2 P ?3/2;11d 2 D 3/2;
5568.4078;0.000 5;17953.469;;;;;;6p 2 P ?1/2;11s 2 S 1/2;
5573.674;0.000 5;17936.506;;;;;;6p 2 P ?3/2;12s 2 S 1/2;
5635.2123;0.000 5;17740.637;;0.9796;1.5;2.5;7241782.71;6p 2 P ?3/2;10d 2 D 5/2;
5636.67;0.02;17736.1;;;;;;6p 2 P ?3/2;10d 2 D 3/2;
5664.0183;0.000 5;17650.412;;;;;;6p 2 P ?1/2;9d 2 D 3/2;
5745.7244;0.000 5;17399.42;;;;;;6p 2 P ?3/2;11s 2 S 1/2;
5838.8347;0.000 5;17121.96;;;;;; ;10s 2 S 1/2;
5845.141;0.000 5;17103.486;;;;;;6p 2 P ?3/2;9d 2 D 5/2;
6010.4905;0.000 5;16632.971;;;;;;6p 2 P ?1/2;8d 2 D 3/2;
6034.0895;0.000 5;16567.922;;;;;;6p 2 P ?3/2;10s 2 S 1/2;
6116.52;0.02;16344.6;;;;;;5d 2 D 3/2;14f 2 F ?5/2;
6150.38;0.02;16254.8;;;;;;5d 2 D 3/2;13f 2 F ?5/2;
6153.2381;0.000 5;16247.1095;;;;;;5d 2 D 3/2;14f 2 F ?7/2;
6187.5442;0.000 5;16157.03;;;;;;5d 2 D 5/2;13f 2 F ?7/2;
6193.6689;0.000 5;16141.0531;;;;;;9d 2 D 3/2;12f 2 F ?5/2;
6213.0998;0.000 5;16090.574;;;;;;6p 2 P ?3/2;8d 2 D 5/2;
6217.5986;0.000 5;16078.932;;;;;;6p 2 P ?3/2;8d 2 D 3/2;
6231.349;0.000 5;16043.4512;;;;;;5d 2 D 5/2;12f 2 F ?7/2;
6250.2149;0.000 5;15995.0254;;;;;;5d 2 D 3/2;11f 2 F ?5/2;
6288.5927;0.000 5;15897.4123;;;;;;5d 2 D 5/2;11f 2 F ?7/2;
6326.2034;0.000 5;15802.8994;;;;;;5d 2 D 3/2;10f 2 F ?5/2;
6354.5548;0.000 5;15732.394;;;;;;6p 2 P ?1/2;9s 2 S 1/2;
6365.5226;0.000 5;15705.2872;;;;;;5d 2 D 5/2;10f 2 F ?7/2;
6431.9662;0.000 5;15543.0495;;;;;;5d 2 D 3/2;9f 2 F ?5/2;
6472.6196;0.000 5;15445.427;;;;;;5d 2 D 5/2;9f 2 F ?7/2;
6586.0216;0.000 5;15179.4805;;;;;;5d 2 D 3/2;8f 2 F ?5/2;
6586.5096;0.000 5;15178.356;;;;;;6p 2 P ?3/2;9s 2 S 1/2;
6628.6576;0.000 5;15081.8457;;;;;;5d 2 D 5/2;8f 2 F ?7/2;
6707.6859;0.002 1;14904.156;25;0.1649;1.5;0.5;365025.493;5d 2 D 3/2;11p 2 P ?1/2;
6723.2838;0.000 9;14869.5793;33 000;0.976;1.5;1.5;6349292.668;6p 2 P ?3/2;7d 2 D 3/2;
6743.969;0.003;14823.972;31;0.211;2.5;1.5;441041.5606;5d 2 D 5/2;11p 2 P ?3/2;
6824.6513;0.000 5;14648.7209;;;;;;5d 2 D 3/2;7f 2 F ?5/2;
6848.9056;0.000 5;14596.8452;;;;;2.22E+01;6s 2 S 1/2;5d 2 D 5/2;
6870.4544;0.000 5;14551.0632;;;;;;5d 2 D 5/2;7f 2 F ?7/2;
6895.003;0.000 5;14499.2568;;;;;;6s 2 S 1/2;5d 2 D 3/2;
6973.2966;0.000 5;14336.466;;2.893;1.5;2.5;33331989.59;6p 2 P ?3/2;7d 2 D 5/2;
6983.4912;0.000 5;14315.538;;0.976;1.5;1.5;5665678.244;6p 2 P ?3/2;7d 2 D 3/2;
7026.6801;0.001 1;14227.5485;100;0.221;1.5;0.5;570340.2731;5d 2 D 3/2;10p 2 P ?1/2;
7061.7815;0.001 3;14156.829;130;0.282;2.5;1.5;686146.2445;5d 2 D 5/2;10p 2 P ?3/2;
7228.5336;0.000 5;13830.2531;;;;;;5d 2 D 3/2;6f 2 F ?5/2;
7279.889;0.000 5;13732.67;;;;;;5d 2 D 5/2;6f 2 F ?5/2;
7279.9568;0.000 5;13732.5613;;;;;;5d 2 D 5/2;6f 2 F ?7/2;
7583.7754;0.001 2;13182.4153;120;;;;;5d 2 D 3/2;9p 2 P ?3/2;
7608.9032;0.000 5;13138.882;;;;;2.04E+06;6p 2 P ?1/2;8s 2 S 1/2;
7609.5679;0.001 1;13137.7339;530;0.342;1.5;0.5;1075405.518;5d 2 D 3/2;9p 2 P ?1/2;
7640.3337;0.001 1;13084.8317;720;;;;;5d 2 D 5/2;9p 2 P ?3/2;
7943.882;0.000 5;12584.843;;;;;3.60E+06;6p 2 P ?3/2;8s 2 S 1/2;
8015.7263;0.000 5;12472.0458;;;;;;5d 2 D 3/2;5f 2 F ?5/2;
8078.936;0.000 5;12374.463;;;;;;5d 2 D 5/2;5f 2 F ?5/2;
8079.0363;0.000 5;12374.3112;;;;;;5d 2 D 5/2;5f 2 F ?7/2;
8521.131653;0.000 000 2;11732.3071;;;;;3.28E+07;6s 2 S 1/2;6p 2 P ?3/2;
8761.4121;0.000 8;11410.552;;;;;1.27E+07;6p 2 P ?1/2;6d 2 D 3/2;
8853.2021;0.002 1;11292.247;680;;;;4.50E+04;5d 2 D 3/2;8p 2 P ?3/2;
8918.499;0.003;11209.572;3 600;0.635;1.5;0.5;5.13E+05;5d 2 D 3/2;8p 2 P ?1/2;
8930.377;0.004;11194.662;5 200;0.807;2.5;1.5;3.97E+05;5d 2 D 5/2;8p 2 P ?3/2;
8943.474239;0.000 000 06;11178.26816;;;;;2.86E+07;6s 2 S 1/2;6p 2 P ?1/2;
9172.3178;0.000 8;10899.378;;;;;;6p 2 P ?3/2;6d 2 D 5/2;
9208.5338;0.000 8;10856.513;;;;;2.66E+06;6p 2 P ?3/2;6d 2 D 3/2;
9783.8309;0.001 7;10218.1432;130;0.396;0.5;1.5;169591.3139;7s 2 S 1/2;10p 2 P ?3/2;
9809.621;0.003;10191.279;34;0.1916;0.5;0.5;78777.894;7s 2 S 1/2;10p 2 P ?1/2;
Vacuum;;;;;;;;;;
10027.1033;0.001 0;9972.97;190 000;;;;;5d 2 D 3/2;4f 2 F ?5/2;
10126.188;0.001;9875.384;48 000;;;;;5d 2 D 5/2;4f 2 F ?5/2;
10126.3767;0.001 0;9875.2005;260 000;;;;;5d 2 D 5/2;4f 2 F ?7/2;
10933.568;0.003;9146.1451;1 200;0.68014;0.5;1.5;358468.4599;7s 2 S 1/2;9p 2 P ?3/2;
10987.243;0.003;9101.464;290;0.3491;0.5;0.5;186124.5029;7s 2 S 1/2;9p 2 P ?1/2;
11804.87;0.008;8471.08;30;;;;;7p 2 P ?3/2;13d 2 D 5/2;
11860.339;0.013;8431.462;53;;;;;7p 2 P ?1/2;12d 2 D 3/2;
12091.255;0.003;8270.4399;11;;;;;7p 2 P ?1/2;13s 2 S 1/2;
12117.2349;0.002 3;8252.7079;61;;;;;7p 2 P ?3/2;12d 2 D 5/2;
12298.617;0.003;8130.9956;110;;;;;7p 2 P ?1/2;11d 2 D 3/2;
12361.884;0.010;8089.382;29;;;;;7p 2 P ?3/2;13s 2 S 1/2;
12573.623;0.002 5;7953.1572;180;;;;;7p 2 P ?3/2;11d 2 D 5/2;
12578.692;0.008;7949.952;26;;;;;7p 2 P ?3/2;11d 2 D 3/2;
12652.703;0.003;7903.4496;34;;;;;7p 2 P ?1/2;12s 2 S 1/2;
12949.335;0.003;7722.4045;57;;;;;7p 2 P ?3/2;12s 2 S 1/2;
12982.049;0.004;7702.944;350;;;;;7p 2 P ?1/2;10d 2 D 3/2;
13286.302;0.003;7526.549;850;;;;;7p 2 P ?3/2;10d 2 D 5/2;
13294.524;0.003;7521.8941;70;;;;;7p 2 P ?3/2;10d 2 D 3/2;
13416.532;0.008;7453.491;45;;;;;6d 2 D 3/2;9f 2 F ?5/2;
13427.985;0.003;7447.134;29 000;0.92;1.5;1.5;1.30E+05;5d 2 D 3/2;7p 2 P ?3/2;
13494.206;0.007;7410.588;79;;;;;6d 2 D 5/2;9f 2 F ?7/2;
13575.189;0.003;7366.3802;114;;;;;7p 2 P ?1/2;11s 2 S 1/2;
13592.008;0.003;7357.2644;380 000;4.241;0.5;0.5;6.23E+06;6p 2 P ?1/2;7s 2 S 1/2;
13606.276;0.003;7349.5497;84 000;;;;1.10E+06;5d 2 D 5/2;7p 2 P ?3/2;
13762.57;0.003;7266.0848;57 000;2.34;1.5;0.5;1.59E+06;5d 2 D 3/2;7p 2 P ?1/2;
13781.739;0.003;7255.9785;8 500;1.62035;0.5;1.5;5.65E+05;7s 2 S 1/2;8p 2 P ?3/2;
13917.2397;0.002 5;7185.3329;150;;;;;7p 2 P ?3/2;11s 2 S 1/2;
13940.5767;0.002 2;7173.3044;3 200;4.241;0.5;0.5;13448206.42;7s 2 S 1/2;6p 2 P ?1/2;?
14104.532;0.003;7089.9197;110;;;;;6d 2 D 3/2;6f 2 F ?5/2;
14157.616;0.003;7063.3359;1 300;;;;;7p 2 P ?1/2;9d 2 D 3/2;
14190.435;0.004;7047.0005;180;;;;;6d 2 D 5/2;8f 2 F ?7/2;
14515.051;0.003;6889.4007;2 500;;;;;7p 2 P ?3/2;9d 2 D 5/2;
14530.052;0.004;6882.2876;400;;;;;7p 2 P ?3/2;9d 2 D 3/2;
14674.373;0.004;6814.6013;33;;;;;6d 2 D 3/2;11p 2 P ?1/2;
14698.925;0.002 1;6803.2186;550 000;4.241;0.5;0.5;1.14E+07;6p 2 P ?3/2;7s 2 S 1/2;
14729.413;0.005;6789.1367;46;;;;;6d 2 D 5/2;11p 2 P ?3/2;
15245.859;0.003;6559.1583;680;;;;;6d 2 D 3/2;7f 2 F ?5/2;
15302.505;0.006;6534.8776;560;;;;;7p 2 P ?1/2;10s 2 S 1/2;
15346.155;0.003;6516.2901;100;;;;;6d 2 D 5/2;7f 2 F ?5/2;
15346.324;0.003;6516.2186;790;;;;;6d 2 D 5/2;7f 2 F ?7/2;
15738.537;0.003;6353.8309;920;;;;;7p 2 P ?3/2;10s 2 S 1/2;
16221.032;0.013;6164.836;29;;;;;6d 2 D 3/2;10p 2 P ?3/2;
16291.979;0.004;6137.9899;350;;;;;6d 2 D 3/2;10p 2 P ?1/2;
16334.562;0.004;6121.9885;300;;;;;6d 2 D 5/2;10p 2 P ?3/2;
16540.15;0.003;6045.8943;8 200;;;;;7p 2 P ?1/2;8d 2 D 3/2;
16593.638;0.014;6026.406;7;;;;;4f 2 F ?7/2;11g 2 G;
16594.134;0.014;6026.226;5;;;;;4f 2 F ?5/2;11g 2 G 7/2;
17016.967;0.004;5876.488;15 000;;;;;7p 2 P ?3/2;8d 2 D 5/2;
17050.748;0.003;5864.8455;1 400;;;;;7p 2 P ?3/2;8d 2 D 3/2;
17136.175;0.009;5835.608;26;;;;;4f 2 F ?7/2;10g 2 G;
17136.709;0.009;5835.426;19;;;;;4f 2 F ?5/2;10g 2 G 7/2;
17419.506;0.004;5740.6909;2 200;;;;;6d 2 D 3/2;6f 2 F ?5/2;
17550.561;0.005;5697.8235;260;;;;;6d 2 D 5/2;6f 2 F ?5/2;
17550.882;0.004;5697.7192;2 600;;;;;6d 2 D 5/2;6f 2 F ?7/2;
17928.529;0.007;5577.7025;110;;;;;4f 2 F ?7/2;9g 2 G;
17929.116;0.007;5577.5198;88;;;;;4f 2 F ?5/2;9g 2 G 7/2;
19167.777;0.006;5217.089;250;;;;;4f 2 F ?7/2;8g 2 G;
19168.447;0.005;5216.9068;230;;;;;4f 2 F ?5/2;8g 2 G 7/2;
19435.164;0.005;5145.3129;3 800;;;;;7p 2 P ?1/2;9s 2 S 1/2;
19635.345;0.005;5092.8568;190;;;;;6d 2 D 3/2;9p 2 P ?3/2;
19802.017;0.004;5049.9905;2 200;;;;;6d 2 D 5/2;9p 2 P ?3/2;
19809.139;0.004;5048.1749;1 500;;;;;6d 2 D 3/2;9p 2 P ?1/2;
19996.393;0.011;5000.902;55;;;;;4f 2 F ?7/2;10d 2 D 5/2;
19997.1;0.015;5000.725;3;;;;;4f 2 F ?5/2;10d 2 D 5/2;
20015.76;0.013;4996.063;40;;;;;4f 2 F ?5/2;10d 2 D 3/2;
20143.965;0.005;4964.2659;7 600;;;;;7p 2 P ?3/2;9s 2 S 1/2;
21317.301;0.010;4691.0254;1 800;;;;;4f 2 F ?7/2;7g 2 G;
21318.13;0.009;4690.843;1 700;;;;;4f 2 F ?5/2;7g 2 G 7/2;
22818.081;0.005;4382.4894;8 800;;;;;6d 2 D 3/2;5f 2 F ?5/2;
22916.06;0.009;4363.7518;180;;;;;4f 2 F ?7/2;9d 2 D 5/2;
22954.446;0.008;4356.4546;110;;;;;4f 2 F ?5/2;9d 2 D 3/2;
23043.465;0.012;4339.6252;740;;;;;6d 2 D 5/2;5f 2 F ?5/2;
23044.271;0.005;4339.4733;11 000;;;;;6d 2 D 5/2;5f 2 F ?7/2;
23350.837;0.009;4282.5017;39 000;;;;;7p 2 P ?1/2;7d 2 D 3/2;
23880.477;0.08;4187.521;500;;;;;8p 2 P ?1/2;11d 2 D 3/2;
24257.831;0.006;4122.3801;44 000;;;;;7p 2 P ?3/2;7d 2 D 5/2;
24381.609;0.006;4101.4521;8 500;;;;;7p 2 P ?3/2;7d 2 D 3/2;
25770.543;0.008;3880.3994;8 900;;;;;4f 2 F ?7/2;6g 2 G;
25771.759;0.009;3880.2164;5 000;;;;;4f 2 F ?5/2;6g 2 G 7/2;
25791.216;0.03;3877.289;40;;;;;8p 2 P ?3/2;12s 2 S 1/2;
26599.62;0.014;3759.4522;160;;;;;8p 2 P ?1/2;10d 2 D 3/2;
27163.339;0.015;3681.4326;65;;;;;8p 2 P ?3/2;10d 2 D 5/2;
29318.05;0.03;3410.868;6 800;14.32;0.5;1.5;4.05E+06;7s 2 S 1/2;7p 2 P ?3/2;
29843.278;0.012;3350.8383;21;;;;;4f 2 F ?7/2;8d 2 D 5/2;
29948.965;0.013;3339.0136;14;;;;;4f 2 F ?5/2;8d 2 D 3/2;
30111.485;0.03;3320.992;28 000;;;;9.13E+05;6p 2 P ?1/2;5d 2 D 3/2;
30961.497;0.03;3229.818;8 100;10.314;0.5;0.5;3.52E+06;7s 2 S 1/2;7p 2 P ?1/2;
31223.752;0.013;3202.6901;47;;;;;6d 2 D 3/2;8p 2 P ?3/2;
31647.326;0.011;3159.8246;390;;;;;6d 2 D 5/2;8p 2 P ?3/2;
32051.125;0.013;3120.0153;280;;;;;6d 2 D 3/2;8p 2 P ?1/2;
32052.872;0.018;3119.8452;15;;;;;8p 2 P ?1/2;9d 2 D 3/2;
32848.441;0.018;3044.2845;22;;;;;8p 2 P ?3/2;9d 2 D 5/2;
32925.387;0.025;3037.1701;2;;;;;8p 2 P ?3/2;9d 2 D 3/2;
34909.647;0.03;2864.5377;11 000;;;;7.82E+05;6p 2 P ?3/2;5d 2 D 5/2;
36140.854;0.024;2766.9518;1 900;;;;1.07E+05;6p 2 P ?3/2;5d 2 D 3/2;
39187.969;0.03;2551.8036;18;;;;1.38E+06;7p 2 P ?1/2;8s 2 S 1/2;
39432.001;0.016;2536.0113;16;;;;;4f 2 F ?7/2;5g 2 G 7/2,9/2;
39434.864;0.016;2535.8272;13;;;;;4f 2 F ?5/2;5g 2 G 7/2;
